Date,Open,High,Low,Close,Adj Close,Volume
2013-02-22,725.000000,732.025024,721.150024,727.549988,589.708862,1310694
2013-02-25,726.500000,737.500000,725.750000,736.849976,597.246765,1730030
2013-02-26,733.500000,749.974976,733.000000,748.200012,606.446533,2853670
2013-02-27,747.625000,751.525024,738.650024,741.599976,601.096863,2556682
2013-02-28,743.125000,762.500000,742.625000,758.500000,614.794861,4599424
2013-03-01,757.549988,758.000000,749.000000,750.924988,608.655212,2537326
2013-03-04,745.500000,759.950012,745.500000,756.599976,613.254944,3136076
2013-03-05,758.500000,771.500000,754.299988,770.075012,624.177063,3440054
2013-03-06,768.075012,782.750000,768.075012,780.599976,632.707947,2299510
2013-03-07,780.500000,798.799988,779.674988,794.950012,644.339294,3908702
2013-03-08,795.000000,797.825012,787.450012,791.575012,641.603760,4341502
2013-03-11,787.500000,794.775024,778.325012,783.099976,634.734192,2221330
2013-03-12,779.000000,783.974976,774.000000,780.250000,632.424316,1809452
2013-03-13,778.025024,779.349976,774.000000,775.849976,628.857849,1794496
2013-03-14,778.500000,788.500000,771.900024,783.849976,635.342163,3051218
2013-03-15,786.000000,790.200012,780.299988,785.125000,636.375732,4212398
2013-03-18,779.924988,786.825012,777.200012,783.474976,635.038269,1694988
2013-03-19,782.250000,782.250000,770.224976,773.375000,626.851807,3739910
2013-03-20,770.000000,786.325012,769.974976,778.825012,631.269165,4168136
2013-03-21,781.500000,787.200012,776.849976,779.974976,632.201599,1664604
2013-03-22,780.700012,781.049988,766.000000,771.075012,624.987610,2714456
2013-03-25,774.250000,776.000000,764.200012,771.674988,625.474121,1857316
2013-03-26,770.049988,785.000000,768.075012,778.174988,630.742249,1781536
2013-03-28,778.000000,791.700012,770.825012,787.875000,638.604614,3065662
2013-04-01,782.500000,786.849976,775.625000,778.424988,630.944946,968812
2013-04-02,778.000000,785.599976,770.625000,783.674988,635.200317,1130332
2013-04-03,785.000000,787.500000,765.500000,771.700012,625.494141,959932
2013-04-04,770.049988,770.049988,750.500000,753.900024,611.066589,1126338
2013-04-05,752.500000,754.674988,742.049988,749.174988,607.236633,1865248
2013-04-08,749.450012,749.450012,737.500000,740.375000,600.104065,896416
2013-04-09,740.000000,756.500000,738.799988,748.700012,606.851746,1672354
2013-04-10,754.950012,769.450012,750.500000,765.224976,620.245911,2046284
2013-04-11,770.000000,775.049988,760.349976,768.450012,622.859863,2244658
2013-04-12,740.950012,762.250000,739.174988,755.875000,612.667236,5032060
2013-04-15,756.750000,757.000000,724.174988,736.224976,596.740234,5391496
2013-04-16,735.000000,746.724976,728.974976,741.575012,601.076599,3071582
2013-04-17,747.500000,749.500000,715.500000,728.325012,590.337158,5279004
2013-04-18,743.974976,747.450012,713.724976,726.375000,588.756287,8554458
2013-04-22,723.000000,729.900024,712.500000,712.650024,577.631714,2962484
2013-04-23,712.224976,724.000000,712.000000,715.275024,579.759521,3384170
2013-04-25,715.275024,715.275024,699.325012,701.150024,568.310608,7929194
2013-04-26,696.500000,696.724976,682.549988,684.674988,554.956970,4754076
2013-04-29,682.500000,692.349976,682.500000,685.375000,555.524414,3968916
2013-04-30,684.000000,691.000000,682.500000,689.200012,558.624573,4020570
2013-05-02,686.750000,719.400024,686.750000,716.950012,581.117188,5630326
2013-05-03,713.000000,723.625000,703.950012,709.250000,574.876038,3641790
2013-05-06,710.000000,736.200012,710.000000,733.599976,594.612549,3727118
2013-05-07,733.549988,739.424988,728.700012,735.799988,596.395813,2260180
2013-05-08,736.000000,743.900024,735.000000,740.049988,599.840515,1768130
2013-05-09,741.599976,751.724976,741.500000,749.224976,607.277283,1949700
2013-05-10,749.224976,755.450012,745.549988,747.950012,606.244019,1139714
2013-05-13,740.000000,740.500000,722.849976,725.799988,588.290344,1862498
2013-05-14,727.549988,735.275024,721.875000,728.974976,590.863770,2250100
2013-05-15,729.049988,738.599976,725.000000,735.775024,596.375366,3565926
2013-05-16,734.500000,734.500000,723.724976,727.025024,589.283325,2415652
2013-05-17,727.500000,739.250000,727.049988,736.900024,597.287415,2900200
2013-05-20,735.625000,739.000000,730.500000,736.200012,596.719788,1385504
2013-05-21,732.500000,751.000000,732.500000,746.424988,605.007690,1898432
2013-05-22,749.000000,754.575012,746.150024,749.200012,607.256958,1846944
2013-05-23,747.500000,763.375000,739.174988,746.349976,604.947144,3063962
2013-05-24,750.000000,751.474976,731.799988,734.775024,595.564941,1586612
2013-05-27,734.750000,750.000000,730.000000,749.000000,607.094910,2023864
2013-05-28,749.000000,758.250000,745.150024,757.049988,613.619751,1400254
2013-05-29,758.000000,763.750000,742.549988,748.674988,606.831421,1452038
2013-05-30,750.000000,756.000000,743.500000,749.700012,607.662292,2408346
2013-05-31,745.500000,754.625000,738.375000,749.224976,607.277283,1929868
2013-06-03,752.000000,753.500000,728.549988,734.700012,595.504211,3097612
